URI	Field	Grouping	Parent	Description	Range	Deprecated	Exact	Close
	core_property	True		abstract grouping of core properties				
	id		core_property	this maps to the URI in RDF	uriorcurie			
rdfs:label	label		core_property		label type		skos:prefLabel	
IAO:0000115	definition		core_property		narrative text		skos:definition	
dcterms:title	title				narrative text			
	match_aspect							
	match	True						
skos:broadMatch	broadMatch		match		Thing			
skos:closeMatch	closeMatch		match		Thing			
skos:exactMatch	exactMatch		match		Thing			
skos:narrowMatch	narrowMatch		match		Thing			
oio:hasDbXref	database_cross_reference		match		CURIELiteral			
	informative_property	True						
rdfs:comment	comment		informative_property					
biolink:category	category		informative_property					
sdo:image	image		informative_property		Thing			
IAO:0000112	example_of_usage		informative_property				skos:example	
skos:changeNote	changeNote		informative_property					
IAO:0000114	has_curation_status		informative_property					
protege:defaultLanguage	defaultLanguage		informative_property					
IAO:0000700	has_ontology_root_term		informative_property		Class			
dcterms:conformsTo	conformsTo		informative_property		Thing			
dcterms:license	license		informative_property		Thing			
foaf:depicted_by	depicted_by		informative_property					
foaf:page	page		informative_property					
	version_property	True						
owl:versionIRI	versionIRI		version_property		uriorcurie			
owl:versionInfo	versionInfo		version_property					pav:version
	obsoletion_related_property	True		Grouping class for all properties related to lifecycle				
owl:deprecated	deprecated		obsoletion_related_property		boolean			
IAO:0100001	term_replaced_by		obsoletion_related_property		Any		dcterms:isReplacedBy	
IAO:0000231	has_obsolescence_reason		obsoletion_related_property					
oio:consider	consider		obsoletion_related_property		Any			
oio:hasAlternativeId	has_alternative_id		obsoletion_related_property		uriorcurie			
RO:0001900	temporal_interpretation				NamedIndividual			
RO:0002161	never_in_taxon				Class			
RO:0002581	is_a_defining_property_chain_axiom							
RO:0002582	is_a_defining_property_chain_axiom_where_second_argument_is_reflexive							
	provenance_property	True						
dcterms:contributor	contributor		provenance_property		Thing			prov:wasAttributedTo
dcterms:creator	creator		provenance_property					prov:wasAttributedTo
dcterms:created	created		provenance_property	when the term came into being				pav:createdOn
dcterms:date	date		provenance_property	when the term was updated				pav:authoredOn
dcterms:source	source		provenance_property				http://purl.org/dc/terms/source|oio:source	
oio:created_by	created_by		provenance_property			proposed obsoleted by OMO group 2022-04-12		
oio:creation_date	creation_date		provenance_property			proposed obsoleted by OMO group 2022-04-12		
oio:date_retrieved	date_retrieved		provenance_property					
IAO:0000116	editor_note		provenance_property		narrative text			
IAO:0000117	term_editor		provenance_property					
IAO:0000119	definition_source		provenance_property					
IAO:0000232	curator_note		provenance_property					
IAO:0000233	term_tracker_item		provenance_property					
IAO:0000234	ontology_term_requester		provenance_property					
IAO:0000412	imported_from		provenance_property		NamedIndividual			
IAO:0010000	has_axiom_label		provenance_property		Thing			
